年份,月份,區域別總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
87,10,9547,1049,965,626,826,889,1175,269,211,298,640,287,441,364,558,201,225,66,175,150,100,30,2
87,11,9401,1121,974,576,878,807,1125,229,198,291,605,304,472,357,530,180,252,50,168,132,130,20,2
87,12,10307,1244,1029,659,907,1011,1244,244,213,321,638,298,471,376,566,204,285,77,203,160,127,28,2
88,1,10699,1228,1079,683,968,986,1320,307,228,307,705,374,536,338,567,188,264,66,215,156,150,31,3
88,2,9685,1119,972,603,835,913,1191,239,205,324,618,343,438,355,558,189,228,57,173,170,124,27,4
88,3,12730,1480,1269,801,1166,1151,1460,336,322,368,815,401,644,441,690,255,351,92,285,214,158,27,4
88,4,10969,1290,1169,729,961,989,1221,282,269,322,719,345,517,380,588,223,301,68,224,196,134,38,4
88,5,9943,1160,965,633,921,934,1232,244,205,315,677,315,499,334,538,172,258,60,195,145,115,24,2
88,6,9574,1171,1014,616,876,891,1118,244,208,305,607,325,426,342,499,168,219,59,183,144,124,32,3
88,7,10008,1194,1002,644,870,920,1269,243,199,292,662,297,467,358,609,196,258,60,178,150,111,27,2
88,8,9986,1127,1017,580,875,946,1278,246,216,300,611,318,531,348,592,177,267,64,184,157,117,33,2
88,9,10462,1110,926,566,1494,926,1230,234,212,282,614,486,511,358,592,190,245,51,157,138,100,35,5
88,10,10990,1222,1076,612,1389,872,1171,230,207,289,696,824,523,344,557,179,231,72,159,165,133,34,5
88,11,10118,1175,1053,652,947,910,1129,260,206,305,685,357,546,370,548,205,230,57,180,152,116,29,6
88,12,10949,1333,1127,686,1000,1052,1271,297,224,346,732,343,542,355,611,181,252,53,195,181,136,28,4
89,1,11478,1362,1175,763,1027,1063,1379,278,270,336,781,366,550,400,609,185,278,67,196,205,141,44,3
89,2,10636,1180,1022,641,985,1044,1250,276,220,344,783,354,551,385,604,171,231,78,186,185,119,24,3
89,3,12521,1522,1312,850,1145,1088,1472,302,288,422,845,400,630,475,598,210,278,61,217,207,162,31,6
89,4,10424,1213,1049,700,970,917,1176,254,242,365,709,314,511,377,542,213,245,76,220,186,123,18,4
89,5,11054,1347,1098,739,1027,998,1292,286,264,343,734,303,508,412,573,215,270,79,211,195,127,32,1
89,6,10040,1230,1039,661,931,891,1212,257,211,295,661,309,460,366,545,169,251,55,177,166,115,33,6
89,7,10031,1202,1080,685,904,895,1201,239,200,332,618,300,507,387,519,179,254,60,157,174,103,33,2
89,8,9729,1185,1005,647,852,929,1215,274,201,291,580,315,446,326,513,179,233,60,167,164,118,25,4
89,9,9706,1174,996,617,843,887,1216,231,175,269,652,320,477,351,536,189,248,48,192,139,119,26,1
89,10,10004,1253,1077,651,909,849,1169,246,227,324,659,320,432,365,541,162,226,53,208,157,144,28,4
89,11,10130,1211,1056,649,933,930,1190,267,214,330,672,316,458,334,580,174,228,65,213,156,124,27,3
89,12,10205,1186,1080,638,982,949,1187,271,206,345,639,318,507,378,543,177,254,45,198,146,126,30,0
90,1,10753,1256,1090,673,954,986,1354,245,230,342,714,348,521,416,596,192,278,65,183,155,129,23,3
90,2,11219,1365,1202,780,1035,1005,1295,278,260,345,716,332,559,432,582,207,249,59,210,163,121,23,1
90,3,11764,1382,1204,763,1058,1021,1449,290,282,370,811,349,583,412,631,208,286,69,213,211,141,27,4
90,4,10727,1290,1070,753,976,967,1273,237,266,369,637,352,496,358,589,187,289,56,221,179,132,28,2
90,5,10882,1251,1126,738,990,1011,1285,259,237,342,729,334,508,394,595,185,282,60,213,192,118,29,4
90,6,9727,1127,1041,604,874,900,1151,258,228,289,672,323,443,320,545,191,237,51,176,164,105,24,4
90,7,10274,1152,1034,646,949,938,1307,220,228,292,667,279,504,408,596,212,270,59,189,165,130,24,5
90,8,10720,1266,1185,648,984,959,1297,267,230,316,651,399,504,386,560,176,301,72,216,145,131,26,1
90,9,8764,1028,907,586,794,823,1110,238,215,268,546,266,376,295,449,159,215,55,162,131,114,23,4
90,10,11339,1340,1234,732,1016,1006,1355,333,263,334,741,345,520,397,631,220,253,79,194,169,137,34,6
90,11,10705,1310,1114,689,926,1032,1317,265,216,308,678,310,529,400,549,191,262,61,215,168,132,28,5
90,12,10773,1302,1130,681,940,994,1299,269,234,319,699,338,501,387,622,190,277,72,192,150,131,38,8
91,1,12252,1428,1220,810,1144,1060,1478,326,290,391,771,373,586,444,689,228,306,50,269,197,158,29,5
91,2,10264,1216,1038,699,916,1000,1227,255,213,310,638,300,512,364,541,206,267,57,189,153,132,28,3
91,3,11413,1396,1225,805,1048,1003,1300,278,264,345,716,371,496,397,601,201,278,67,226,207,143,41,5
91,4,10713,1308,1134,711,999,959,1282,267,256,356,680,315,513,375,553,175,251,63,206,163,120,26,1
91,5,10566,1227,1125,705,992,964,1305,263,233,309,664,328,489,389,557,201,251,56,213,159,101,31,4
91,6,9775,1295,1023,587,869,904,1190,253,221,315,573,296,447,326,532,180,229,63,186,144,113,28,1
91,7,11551,1365,1219,780,1002,1082,1420,313,220,346,752,372,527,393,665,208,276,70,221,151,122,38,9
91,8,10613,1256,1115,692,985,960,1357,281,206,333,640,307,478,401,597,207,248,50,187,161,112,37,3
91,9,9915,1150,1023,652,908,930,1302,253,194,280,593,349,433,346,548,179,225,73,185,150,114,25,3
91,10,10676,1214,1170,643,989,953,1369,266,225,317,725,340,509,383,592,175,239,64,191,158,119,30,5
91,11,9868,1192,1081,648,851,904,1206,258,210,314,632,299,484,323,505,193,239,67,204,124,104,27,3
91,12,11030,1302,1149,750,992,1061,1385,270,211,339,695,355,510,375,570,199,265,71,199,166,134,28,4
92,1,11264,1335,1172,740,1033,1126,1405,246,222,362,733,351,478,382,609,202,261,55,206,180,134,29,3
92,2,11369,1359,1162,764,1041,1035,1428,291,249,321,753,306,510,421,610,209,265,69,204,189,144,37,2
